,airport__name,aircraft__make_model,effect__amount_of_damage,flight_date,aircraft__airline_operator,origin_state,when__phase_of_flight,wildlife__size,wildlife__species,when__time_of_day,cost__other,cost__repair,cost__total_$,speed_ias_in_knots
0,BARKSDALE AIR FORCE BASE ARPT,T-38A,None,1/8/90 0:00,MILITARY,Louisiana,Climb,Large,Turkey vulture,Day,0,0,0,300.0
1,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1/9/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,200.0
2,BARKSDALE AIR FORCE BASE ARPT,B-52,None,1/11/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,130.0
3,NEW ORLEANS INTL,B-737-300,Substantial,1/11/90 0:00,SOUTHWEST AIRLINES,Louisiana,Take-off run,Small,Rock pigeon,Day,0,0,0,140.0
4,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1/12/90 0:00,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,160.0
5,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,2/2/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,180.0
6,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,2/6/90 0:00,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Dusk,0,0,0,140.0
7,WASHINGTON DULLES INTL ARPT,B-727,None,2/22/90 0:00,FEDEX EXPRESS,DC,Approach,Large,Unknown bird - large,Night,0,0,0,190.0
8,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,3/1/90 0:00,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,180.0
9,BARKSDALE AIR FORCE BASE ARPT,B-52,None,3/2/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,130.0
10,WASHINGTON DULLES INTL ARPT,BA-146,Medium,3/3/90 0:00,AIR WISCONSIN AIRLINES,DC,Climb,Large,Unknown bird - large,Day,0,0,0,180.0
11,BARKSDALE AIR FORCE BASE ARPT,B-52,None,3/8/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,150.0
12,RONALD REAGAN WASHINGTON NATL,C-141B,None,3/9/90 0:00,MILITARY,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,200.0
13,CHARLESTON AFB/INTL ARPT,C-141B,None,3/9/90 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Night,0,0,0,190.0
14,BARKSDALE AIR FORCE BASE ARPT,B-52,None,3/9/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,150.0
15,BARKSDALE AIR FORCE BASE ARPT,A-10A,None,3/13/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,4175,4175,250.0
16,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,3/19/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,150.0
17,LAMBERT-ST LOUIS INTL,SA227 AC METRO III,Minor,3/22/90 0:00,TRANS STATES AIRLINES,Missouri,Climb,Small,European starling,Day,0,0,0,160.0
18,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/4/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,135.0
19,LAGUARDIA NY,B-737-400,Substantial,4/7/90 0:00,US AIRWAYS*,New York,Take-off run,Large,Canada goose,Day,0,0,0,
20,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/7/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,120.0
21,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/9/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,210.0
22,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/15/90 0:00,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,180.0
23,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/16/90 0:00,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Dawn,0,0,0,150.0
24,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/18/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,140.0
25,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/19/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,180.0
26,BARKSDALE AIR FORCE BASE ARPT,KC-135,None,4/19/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,140.0
27,NEW ORLEANS INTL,B-727,None,4/19/90 0:00,AMERICAN AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,235.0
28,CHARLOTTE/DOUGLAS INTL ARPT,BE-58  BARON,None,4/20/90 0:00,UNKNOWN,North Carolina,Approach,Medium,Unknown bird - medium,Day,0,0,0,105.0
29,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/23/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dawn,0,0,0,190.0
30,CHARLESTON AFB/INTL ARPT,C-141B,None,4/23/90 0:00,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,160.0
